web_id,db_strasse_original,db_strasse,original_used,cleaned,flag_has_comma,flag_has_slash,flag_has_range,flag_multiple_numbers,flag_multiple_streets,flag_kept_text_after_number,plz,ort,beschreibung
938,,Am Eichgarten 15/Weverpromenade,Am Eichgarten 15/Weverpromenade,Am Eichgarten 15,0,1,0,0,1,0,12167,Berlin,"2014 Fassadensanierung, alle Spechtlöcher verschlossen Hinweis UNB 4.11.14

2012 3x Sperlinge Gebäude hinter dem Haus der Adresse Am Eichgarten 15: in Spechtlöchern der Fassadendämmung aus alten Beständen neu kartiert"
1762,,"Afrikanische Str. 123/125, Möwensee-Schule","Afrikanische Str. 123/125, Möwensee-Schule",Afrikanische Str. 123,1,1,1,0,1,0,13351,Berlin,"Schulsanierung Möwensee-Grundschule

2020-05: Der Erweiterungsbau wurde fertiggestellt. Die Sporthalle dahinter ist noch im alten Zustand und es brüten wieder Sperlinge dort unter dem Dach (Kotspuren, Nistmaterial und Einflüge gesichtet).

2019-Sommer: Der neue Modulbau vor der Turnhalle ist so gut wie fertig. Die Turnhalle und das alte Schulgebäude sind noch unsaniert. Vermutlich wird in diesem Jahr nichts mehr gemacht, aber ich fahre dort mehrmals die Woche vorbei und bekomme Entwicklungen hier auch kurzfristig mit.

2019-04: Beginn der Bauarbeiten Schulerweiterungsbau; an Sporthalle Sperlingsniststättpen und zahlreiche Kotspuren entlang der Dachrinne (Fotos vorhanden), Nester z.B. oberhalb 2. Fenster von links, Sperlingseinflüge in die Dachrinne und Jungvogelfütterung auf Wandvorsprüngen beobachtet; evtl. Niststätten auch am Hauptgebäude, zahlreiche Sperlingsanflüge auf Dach und Fenster gesichtet (Verdacht auf weitere Niststätten)
Wand Hauptgebäude mit Rankpflanzen bewachsen (weiterer Verdacht auf Niststätten)"
936,,Ahornstr. 30/31,Ahornstr. 30/31,Ahornstr. 30,0,1,1,0,1,0,12163,Berlin,"2012 an Hausgrenze zur Nr. 31 Sperlinge oben am Dach, Mauer defekt, Hausgrenze zur 31, sonst viele Sperlinge am Haus (Haus ist im Durchgang Zimmermann-Ahornstr.)"
797,,Ahrweiler Str. 10/Markobrunner Str.,Ahrweiler Str. 10/Markobrunner Str.,Ahrweiler Str. 10,0,1,0,0,1,0,14197,Berlin,2011-09 Sperlinge an der Hausecke unter der Dachrinne
917,,Ahrweiler Str. 19 a,Ahrweiler Str. 19 a,Ahrweiler Str. 19,0,0,0,0,0,0,14197,Berlin,2012 Sperlinge links von Haustür unter der Dachrinne
798,,Ahrweiler Str. 25 c,Ahrweiler Str. 25 c,Ahrweiler Str. 25,0,0,0,0,0,0,14197,Berlin,"2011-06 links von Haustür unter Dachrinne 1x Sperlinge, Mauersegleranflüge"
207,,"Akazienstr. 11-12, Hinterhofseite","Akazienstr. 11-12, Hinterhofseite",Akazienstr. 11,1,0,1,1,0,0,10823,Berlin,"2006: Sichtung von der Gleditschstr. 80/80 a aus, das Nachbarhaus ist Gleditsch 80A, 1x Sperlinge Dachrinne Nähe Fallrohr, viele Mauersegleranflüge"
1616,,Alboinplatz 17 / Eythstr.,Alboinplatz 17 / Eythstr.,Alboinplatz 17,0,1,0,0,1,0,12105,Berlin,"2019 Online-Formular: Ca 12 Löcher in der Fassade werden von Haussperlingen genutzt. Ich habe auch Fotos gemacht, auf denen die Nutzung klar zu erkennen ist. 

2017 Hauswand Alboinplatz sowie zur Eythstr. hin, zahlreiche Spechtlöcher in der Fassade die von Sperlingen bewohnt werden: > 8 "
945,,Albrechtstr. 12/Schützenstr. 54,Albrechtstr. 12/Schützenstr. 54,Albrechtstr. 12,0,1,0,0,1,0,12167,Berlin,"2012 direkt über Haustür über Fenster 2. Etage hinter Stuck Mauersegler, linke Hausgrenze zur 13 linke Fensterfront Stuck 2. Etage Mauersegler, dito 1. Etage Sperlinge, Sperlinge zahlreich in Stuck über Fenstern, Fledermausausflug! Positon konnte ich nicht genau sehen."
731,,Albrechtstr. 131/Hermann-Ehlers-Platz,Albrechtstr. 131/Hermann-Ehlers-Platz,Albrechtstr. 131,0,1,0,0,1,0,12165,Berlin,"2014: wie in Vorjahren

2013: an Hermann-Ehlers-Platz Richtg. Schloßstr. zahlreiche Sperlinge am Haus, an Verblendungen, Dach, Jalousiekästen

2011-05: Sperlinge 4x in Jalousiekästen 2. Etage"
