id,web_id,bezirk,plz,ort,strasse,anhang,erstbeobachtung,beschreibung,besonderes,checksum,update_date,new,mauersegler,kontrolle,sperling,ersatz,schwalbe,wichtig,star,sanierung,fledermaus,verloren,andere,noSpecies,is_test,strasse_original,has_comma,has_slash,has_range,multiple_numbers,multiple_streets,flag_has_text_after_number,text_after_number,no_geocode,osm_latitude,osm_longitude,google_latitude,google_longitude,latitude,longitude
3,938,Steglitz,12167,Berlin,Am Eichgarten 15,Foto vorhanden,2009-01-01 00:00:00,"2014 Fassadensanierung, alle Spechtlöcher verschlossen Hinweis UNB 4.11.14

2012 3x Sperlinge Gebäude hinter dem Haus der Adresse Am Eichgarten 15: in Spechtlöchern der Fassadendämmung aus alten Beständen neu kartiert",,89507d34a7b371a9f013478d9218daaa32b577f72d5515fd182aa9cf,2026-01-24 18:05:49,0,0,1,1,0,0,0,0,1,0,0,0,0,0,Am Eichgarten 15/Weverpromenade,0,1,0,0,1,0,,0,52.4458885,13.3339986,52.44582210000001,13.333895,52.44582210000001,13.333895
4,329,Wilmersdorf,10713,Berlin,Aachener Str. 18,,2008-06-20 00:00:00,"an rechter Hausgrenze an Fallrohr-Befestigung/Mauer 2x Sperlinge 1x Höhe erste Etage, 1x über Fensterfront 2. Etage",,1f5c4395557abdd41ceb70f97567eb552d45b3526f00ea0eda372edb,2020-05-08 10:53:31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4792111,13.3182384,52.47924,13.31822,52.47924,13.31822
5,132,Wilmersdorf,10713,Berlin,Aachener Str. 40,,2005-07-26 00:00:00,2005-07: 1x Mehlschwalben Balkon 2. Etage,,caf3aa881de4dfe4484111ca145a36d7f7f8056d4842ecf47c4117f8,2026-01-24 18:02:48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4816302,13.3189917,52.48164,13.3192001,52.48164,13.3192001
6,1208,Steglitz,12167,Berlin,Adolfstr. 1,Foto,2014-07-03 00:00:00,"2021-01: insgesamt 8 Ersatzkästen für Mauersegler, teilweise mit 3, teilweise mit einer Nistmöglichkeit

2018-06: Gerüst

2014-07: Mauersegler 2 Ausflüge direkt unter der Dachrinne an der Seite zur Leydenallee; auch Rufe aus dem Bereich unter der Dachrinne gehört","2018-06: Gerüst, Gerüstbegehung am 21.06.18 und div. Bodenortsbesichtigungen laut UNB Steglitz-Zehlendorf ohne Ergebnis, trotzdem will die Hausverwaltung Nistkästen am Gebäude anbringen",659dec073cabef4a1158231a1e298d3f4e89ee4e5f42763ca93e0e96,2021-02-08 17:06:09,0,1,0,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4530522,13.32288089438891,52.45308000000001,13.3226901,52.45308000000001,13.3226901
7,1762,Wedding,13351,Berlin,Afrikanische Str. 123,Dokumentation mit Fotos,2019-04-04 00:00:00,"Schulsanierung Möwensee-Grundschule

2020-05: Der Erweiterungsbau wurde fertiggestellt. Die Sporthalle dahinter ist noch im alten Zustand und es brüten wieder Sperlinge dort unter dem Dach (Kotspuren, Nistmaterial und Einflüge gesichtet).

2019-Sommer: Der neue Modulbau vor der Turnhalle ist so gut wie fertig. Die Turnhalle und das alte Schulgebäude sind noch unsaniert. Vermutlich wird in diesem Jahr nichts mehr gemacht, aber ich fahre dort mehrmals die Woche vorbei und bekomme Entwicklungen hier auch kurzfristig mit.

2019-04: Beginn der Bauarbeiten Schulerweiterungsbau; an Sporthalle Sperlingsniststättpen und zahlreiche Kotspuren entlang der Dachrinne (Fotos vorhanden), Nester z.B. oberhalb 2. Fenster von links, Sperlingseinflüge in die Dachrinne und Jungvogelfütterung auf Wandvorsprüngen beobachtet; evtl. Niststätten auch am Hauptgebäude, zahlreiche Sperlingsanflüge auf Dach und Fenster gesichtet (Verdacht auf weitere Niststätten)
Wand Hauptgebäude mit Rankpflanzen bewachsen (weiterer Verdacht auf Niststätten)","Schulsanierung: 2019, 2026: Gesamtsanierung plus Anbauten",ef28d2dfcb8e0addcec28d1bc3b8caf52db2c68e3ae07f56a6ece8b8,2020-05-27 14:46:11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"Afrikanische Str. 123/125, Möwensee-Schule",1,1,1,0,1,0,,0,52.5547963,13.3347361,52.55575,13.3337501,52.55575,13.3337501
8,1451,Steglitz,12163,Berlin,Ahornstr. 16,,2015-06-11 00:00:00,"2015-06: 4x Sperlinge verteilt unter Dachrinne, Mauersegleranflüge hofseitig",,d62e2fde18107a83346d06f0c5c885427e034fa5e6b44345166f0426,2021-11-07 18:39:15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4616632,13.319134570921053,52.4614816,13.3192739,52.4614816,13.3192739
9,1450,Steglitz,12163,Berlin,Ahornstr. 20,,2013-06-11 00:00:00,"2013 zahlreiche Sperlinge am Haus, In Mauernischen und Verblendungen an Balkonen und Mauerabschlüssen, überall am Haus, auch an der Hofseite.
Mauersegler-Anflüge hofseitig und an Straßenfront, vor allem an linker Hausseite, dort an den obersten Verblendungen","Haus würde schon mal von Anwohner in 2014 gemeldet, wg. Sperlingen, Haus sollte saniert werden, ist bis jetzt noch nicht geschehen.
Wichtiger Sperlingsstandort!",3e87bdaa0482a2db6373dfa2fd7eaf08515be281ce9f5693cc6bda23,2020-05-08 10:53:32,0,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4614011,13.3206339,52.4614235,13.3205719,52.4614235,13.3205719
10,135,Steglitz,12163,Berlin,Ahornstr. 26,,2005-07-28 00:00:00,"2012: Rechts von Haustür 1x Mauersegler, sonst Sperlinge verteilt unter Dachrinne.
2005: altes Hinterhaus, Front zur Ahornstr. (man kann diese Stelle von Nr. 26, da gibt es offenen Hofdurchgang, sehen) 1x Mauersegler in Loch über Fallrohr
Hier auch sehr viele Anflüge, an die Dachrinnenbereiche oder Brandmauern, Hausnr. 25 und 26",,22026cda47ff037d4bf9ed00e947b4d2a193e4f0a9056d47239f919d,2020-06-08 19:20:48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4607803,13.3223939,52.4607183,13.3224263,52.4607183,13.3224263
11,134,Steglitz,12163,Berlin,Ahornstr. 27,,2005-07-28 00:00:00,"2021-05: Sperlinge in Ersatzkästen

2005: Eckhaus zur Passage Ahornstr/Zimmermannstr.
hat mehrere Mauerseglerkästen unter Dach, Einflug 1x gesehen bei erstem Kasten rechts von Ecke (Ahornstr. direkt)",,42e3e8e19642e8221a83a2522a095f9dd2cd2238aa834fdfede3240f,2021-11-07 18:33:58,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4605752,13.3227381,52.460582,13.3226911,52.460582,13.3226911
12,936,Steglitz,12163,Berlin,Ahornstr. 30,,2012-06-29 00:00:00,"2012 an Hausgrenze zur Nr. 31 Sperlinge oben am Dach, Mauer defekt, Hausgrenze zur 31, sonst viele Sperlinge am Haus (Haus ist im Durchgang Zimmermann-Ahornstr.)",,cd8a86c15fcbb6c1057014be336c8016744f8d9eb876f9d9ddc24245,2021-02-08 17:04:54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Ahornstr. 30/31,0,1,1,0,1,0,,0,52.4601468,13.322817067618429,52.4601,13.32285,52.4601,13.32285
