web_id,adresse_original,adresse_bereinigt,lat,lon,coord_source
938,Am Eichgarten 15/Weverpromenade,Am Eichgarten 15,52.4458885,13.3339986,osm
329,Aachener Str. 18,Aachener Str. 18,52.4792111,13.3182384,osm
132,Aachener Str. 40,Aachener Str. 40,52.4816302,13.3189917,osm
1208,Adolfstr. 1,Adolfstr. 1,52.4530522,13.32288089438891,osm
1762,"Afrikanische Str. 123/125, Möwensee-Schule",Afrikanische Str. 123,52.5547963,13.3347361,osm
1451,Ahornstr. 16,Ahornstr. 16,52.4616632,13.319134570921053,osm
1450,Ahornstr. 20,Ahornstr. 20,52.4614011,13.3206339,osm
135,Ahornstr. 26,Ahornstr. 26,52.4607803,13.3223939,osm
134,Ahornstr. 27,Ahornstr. 27,52.4605752,13.3227381,osm
936,Ahornstr. 30/31,Ahornstr. 30,52.4601468,13.322817067618429,osm
937,Ahornstr. 31,Ahornstr. 31,52.4603015,13.322963832568808,osm
1449,Ahornstr. 32,Ahornstr. 32,52.4604524,13.3232543,osm
797,Ahrweiler Str. 10/Markobrunner Str.,Ahrweiler Str. 10,52.4708507,13.3171202,osm
917,Ahrweiler Str. 19 a,Ahrweiler Str. 19 a,52.4731998,13.3171185,osm
798,Ahrweiler Str. 25 c,Ahrweiler Str. 25 c,52.4712318,13.3174411,osm
799,Ahrweiler Str. 26,Ahrweiler Str. 26,52.4713447,13.3173874,osm
1440,Ahrweiler Str. 29,Ahrweiler Str. 29,52.4723067,13.3171502,osm
439,Ahrweiler Str. 35,Ahrweiler Str. 35,52.4742995,13.317826857575758,osm
207,"Akazienstr. 11-12, Hinterhofseite",Akazienstr. 11,52.4892176,13.3533825,osm
161,Akazienstr. 12,Akazienstr. 12,52.4885664,13.3539722,osm
95,Akazienstr. 24,Akazienstr. 24,52.4875376,13.3544244,osm
147,Akazienstr. 25,Akazienstr. 25,52.4872324,13.3546932,osm
1578,Akazienstr. 27,Akazienstr. 27,52.4869025,13.3549685,osm
1543,Akazienstr. 29,Akazienstr. 29,52.486539,13.3552866,osm
1542,Akazienstr. 30,Akazienstr. 30,52.4863888,13.3554134,osm
313,Albertstr. 6,Albertstr. 6,52.4831833,13.3548299,osm
1616,Alboinplatz 17 / Eythstr.,Alboinplatz 17,52.4598598,13.36775,osm
733,Albrechtstr. 113,Albrechtstr. 113,52.454770100000005,13.327766190313907,osm
676,Albrechtstr. 114,Albrechtstr. 114,52.4549222,13.32743354333996,osm
945,Albrechtstr. 12/Schützenstr. 54,Albrechtstr. 12,52.4552624,13.32543868006387,osm
1481,Albrechtstr. 123,Albrechtstr. 123,52.4558102,13.32515980165417,osm
731,Albrechtstr. 131/Hermann-Ehlers-Platz,Albrechtstr. 131,52.4570665,13.3220716,osm
1442,Albrechtstr. 136,Albrechtstr. 136,52.4568547,13.3210263,osm
672,Albrechtstr. 14/14 a,Albrechtstr. 14,52.4551467,13.3259343,osm
1003,Albrechtstr. 30-32,Albrechtstr. 30,52.4522081,13.3332086,osm
1002,Albrechtstr. 31,Albrechtstr. 31,52.4526427,13.331588174047598,osm
