id,web_id,longitude,latitude,location,complete_response
4,329,13.31822,52.47924,"Aachener Str. 18, 10713 Berlin, Germany","[{'access_points': [], 'address_components': [{'long_name': '18', 'short_name': '18', 'types': ['street_number']}, {'long_name': 'Aachener Straße', 'short_name': 'Aachener Str.', 'types': ['route']}, {'long_name': 'Bezirk Charlottenburg-Wilmersdorf', 'short_name': 'Bezirk Charlottenburg-Wilmersdorf', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '10713', 'short_name': '10713', 'types': ['postal_code']}], 'formatted_address': 'Aachener Str. 18, 10713 Berlin, Germany', 'geometry': {'location': {'lat': 52.47924, 'lng': 13.31822}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.48058898029149, 'lng': 13.3195689802915}, 'southwest': {'lat': 52.47789101970849, 'lng': 13.3168710197085}}}, 'place_id': 'ChIJu3hv3IhQqEcR2LXdJ3Geh7o', 'plus_code': {'compound_code': 'F8H9+M7 Berlin, Germany', 'global_code': '9F4MF8H9+M7'}, 'types': ['street_address']}]"
5,132,13.3192001,52.48164,"Aachener Str. 40, 10713 Berlin, Germany","[{'access_points': [], 'address_components': [{'long_name': '40', 'short_name': '40', 'types': ['street_number']}, {'long_name': 'Aachener Straße', 'short_name': 'Aachener Str.', 'types': ['route']}, {'long_name': 'Bezirk Charlottenburg-Wilmersdorf', 'short_name': 'Bezirk Charlottenburg-Wilmersdorf', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '10713', 'short_name': '10713', 'types': ['postal_code']}], 'formatted_address': 'Aachener Str. 40, 10713 Berlin, Germany', 'geometry': {'location': {'lat': 52.48164, 'lng': 13.3192001}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.4829889802915, 'lng': 13.3205490802915}, 'southwest': {'lat': 52.4802910197085, 'lng': 13.3178511197085}}}, 'place_id': 'ChIJr3hKW4lQqEcROdAq3tVB3Ng', 'plus_code': {'compound_code': 'F8J9+MM Berlin, Germany', 'global_code': '9F4MF8J9+MM'}, 'types': ['street_address']}]"
9,1450,13.3205719,52.4614235,"Ahornstraße 20, 12163 Berlin, Germany","[{'access_points': [], 'address_components': [{'long_name': '20', 'short_name': '20', 'types': ['street_number']}, {'long_name': 'Ahornstraße', 'short_name': 'Ahornstraße', 'types': ['route']}, {'long_name': 'Bezirk Steglitz-Zehlendorf', 'short_name': 'Bezirk Steglitz-Zehlendorf', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '12163', 'short_name': '12163', 'types': ['postal_code']}], 'formatted_address': 'Ahornstraße 20, 12163 Berlin, Germany', 'geometry': {'location': {'lat': 52.4614235, 'lng': 13.3205719}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.46277248029151, 'lng': 13.3219208802915}, 'southwest': {'lat': 52.46007451970851, 'lng': 13.3192229197085}}}, 'place_id': 'ChIJicqAPIFaqEcR1Y0NixKJo58', 'plus_code': {'compound_code': 'F86C+H6 Berlin, Germany', 'global_code': '9F4MF86C+H6'}, 'types': ['street_address']}]"
14,1449,13.3231439,52.4604673,"Ahornstraße 32, 12163 Berlin, Germany","[{'access_points': [], 'address_components': [{'long_name': '32', 'short_name': '32', 'types': ['street_number']}, {'long_name': 'Ahornstraße', 'short_name': 'Ahornstraße', 'types': ['route']}, {'long_name': 'Bezirk Steglitz-Zehlendorf', 'short_name': 'Bezirk Steglitz-Zehlendorf', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '12163', 'short_name': '12163', 'types': ['postal_code']}], 'formatted_address': 'Ahornstraße 32, 12163 Berlin, Germany', 'geometry': {'bounds': {'northeast': {'lat': 52.46056609999999, 'lng': 13.3233317}, 'southwest': {'lat': 52.4603595, 'lng': 13.3229297}}, 'location': {'lat': 52.4604673, 'lng': 13.3231439}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.4618117802915, 'lng': 13.3244796802915}, 'southwest': {'lat': 52.4591138197085, 'lng': 13.3217817197085}}}, 'place_id': 'ChIJzbl7_oNaqEcRtNjqboSRamE', 'types': ['premise']}]"
18,799,13.3174574,52.47135249999999,"Ahrweilerstraße 26, 14197 Berlin, Germany","[{'access_points': [], 'address_components': [{'long_name': '26', 'short_name': '26', 'types': ['street_number']}, {'long_name': 'Ahrweilerstraße', 'short_name': 'Ahrweilerstraße', 'types': ['route']}, {'long_name': 'Bezirk Charlottenburg-Wilmersdorf', 'short_name': 'Bezirk Charlottenburg-Wilmersdorf', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '14197', 'short_name': '14197', 'types': ['postal_code']}], 'formatted_address': 'Ahrweilerstraße 26, 14197 Berlin, Germany', 'geometry': {'location': {'lat': 52.47135249999999, 'lng': 13.3174574}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.4727014802915, 'lng': 13.3188063802915}, 'southwest': {'lat': 52.4700035197085, 'lng': 13.3161084197085}}}, 'place_id': 'ChIJKzAu0oBQqEcR_qPGendMl8c', 'plus_code': {'compound_code': 'F8C8+GX Berlin, Germany', 'global_code': '9F4MF8C8+GX'}, 'types': ['street_address']}]"
23,95,13.3543196,52.4875862,"Akazienstraße 24, 10823 Berlin, Germany","[{'access_points': [], 'address_components': [{'long_name': '24', 'short_name': '24', 'types': ['street_number']}, {'long_name': 'Akazienstraße', 'short_name': 'Akazienstraße', 'types': ['route']}, {'long_name': 'Bezirk Tempelhof-Schöneberg', 'short_name': 'Bezirk Tempelhof-Schöneberg', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '10823', 'short_name': '10823', 'types': ['postal_code']}], 'formatted_address': 'Akazienstraße 24, 10823 Berlin, Germany', 'geometry': {'bounds': {'northeast': {'lat': 52.4877465, 'lng': 13.3544784}, 'southwest': {'lat': 52.4874581, 'lng': 13.3541098}}, 'location': {'lat': 52.4875862, 'lng': 13.3543196}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.4889512802915, 'lng': 13.3556430802915}, 'southwest': {'lat': 52.4862533197085, 'lng': 13.3529451197085}}}, 'place_id': 'ChIJ04DiFkFQqEcRapPz3unP1P8', 'types': ['premise']}]"
24,147,13.3545557,52.48722619999999,"Akazienstraße 25, 10823 Berlin, Germany","[{'access_points': [], 'address_components': [{'long_name': '25', 'short_name': '25', 'types': ['street_number']}, {'long_name': 'Akazienstraße', 'short_name': 'Akazienstraße', 'types': ['route']}, {'long_name': 'Bezirk Tempelhof-Schöneberg', 'short_name': 'Bezirk Tempelhof-Schöneberg', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '10823', 'short_name': '10823', 'types': ['postal_code']}], 'formatted_address': 'Akazienstraße 25, 10823 Berlin, Germany', 'geometry': {'location': {'lat': 52.48722619999999, 'lng': 13.3545557}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.4885751802915, 'lng': 13.3559046802915}, 'southwest': {'lat': 52.4858772197085, 'lng': 13.3532067197085}}}, 'place_id': 'ChIJ_6XrGkFQqEcRh_b18JE6zrU', 'plus_code': {'compound_code': 'F9P3+VR Berlin, Germany', 'global_code': '9F4MF9P3+VR'}, 'types': ['street_address']}]"
25,1578,13.3549677,52.4868313,"Akazienstraße 27, 10823 Berlin, Germany","[{'access_points': [], 'address_components': [{'long_name': '27', 'short_name': '27', 'types': ['street_number']}, {'long_name': 'Akazienstraße', 'short_name': 'Akazienstraße', 'types': ['route']}, {'long_name': 'Bezirk Tempelhof-Schöneberg', 'short_name': 'Bezirk Tempelhof-Schöneberg', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '10823', 'short_name': '10823', 'types': ['postal_code']}], 'formatted_address': 'Akazienstraße 27, 10823 Berlin, Germany', 'geometry': {'bounds': {'northeast': {'lat': 52.4869421, 'lng': 13.3551159}, 'southwest': {'lat': 52.4867324, 'lng': 13.3548}}, 'location': {'lat': 52.4868313, 'lng': 13.3549677}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.4881862302915, 'lng': 13.3563069302915}, 'southwest': {'lat': 52.4854882697085, 'lng': 13.3536089697085}}}, 'place_id': 'ChIJB8v7A0FQqEcReqdGXJyDF0g', 'types': ['premise']}]"
26,1543,13.3552108,52.4865278,"Akazienstraße 29, 10823 Berlin, Germany","[{'access_points': [], 'address_components': [{'long_name': '29', 'short_name': '29', 'types': ['street_number']}, {'long_name': 'Akazienstraße', 'short_name': 'Akazienstraße', 'types': ['route']}, {'long_name': 'Bezirk Tempelhof-Schöneberg', 'short_name': 'Bezirk Tempelhof-Schöneberg', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '10823', 'short_name': '10823', 'types': ['postal_code']}], 'formatted_address': 'Akazienstraße 29, 10823 Berlin, Germany', 'geometry': {'bounds': {'northeast': {'lat': 52.4866454, 'lng': 13.3553889}, 'southwest': {'lat': 52.4863215, 'lng': 13.3546656}}, 'location': {'lat': 52.4865278, 'lng': 13.3552108}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.48783243029149, 'lng': 13.3563762302915}, 'southwest': {'lat': 52.4851344697085, 'lng': 13.3536782697085}}}, 'place_id': 'ChIJUUAoAEFQqEcRvsc5wgBEDzA', 'types': ['premise']}]"
27,1542,13.3549782,52.4863,"Akazienstraße 30, 10823 Berlin, Germany","[{'access_points': [], 'address_components': [{'long_name': '30', 'short_name': '30', 'types': ['street_number']}, {'long_name': 'Akazienstraße', 'short_name': 'Akazienstraße', 'types': ['route']}, {'long_name': 'Bezirk Tempelhof-Schöneberg', 'short_name': 'Bezirk Tempelhof-Schöneberg', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '10823', 'short_name': '10823', 'types': ['postal_code']}], 'formatted_address': 'Akazienstraße 30, 10823 Berlin, Germany', 'geometry': {'bounds': {'northeast': {'lat': 52.4865121, 'lng': 13.3555543}, 'southwest': {'lat': 52.48616939999999, 'lng': 13.3548307}}, 'location': {'lat': 52.4863, 'lng': 13.3549782}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.48768973029149, 'lng': 13.3565414802915}, 'southwest': {'lat': 52.48499176970849, 'lng': 13.3538435197085}}}, 'place_id': 'ChIJZWSA_0BQqEcRWCcrQul2eu8', 'types': ['premise']}]"
