id,web_id,longitude,latitude,location,complete_response
4,329,13.3182384,52.4792111,"18, Aachener Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland","18, Aachener Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland"
5,132,13.3189917,52.4816302,"40, Aachener Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland","40, Aachener Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland"
9,1450,13.3206339,52.4614011,"20, Ahornstraße, Steglitz, Steglitz-Zehlendorf, 12163, Deutschland","20, Ahornstraße, Steglitz, Steglitz-Zehlendorf, 12163, Deutschland"
14,1449,13.3232543,52.4604524,"Akiko Sushi, Ahornstraße, Steglitz, Steglitz-Zehlendorf, 12163, Deutschland","Akiko Sushi, Ahornstraße, Steglitz, Steglitz-Zehlendorf, 12163, Deutschland"
18,799,13.3173874,52.4713447,"26, Ahrweilerstraße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland","26, Ahrweilerstraße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland"
23,95,13.3544244,52.4875376,"24, Akazienstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland","24, Akazienstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland"
24,147,13.3546932,52.4872324,"25, Akazienstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland","25, Akazienstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland"
25,1578,13.3549685,52.4869025,"27, Akazienstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland","27, Akazienstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland"
26,1543,13.3552866,52.486539,"29, Akazienstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland","29, Akazienstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland"
27,1542,13.3554134,52.4863888,"30, Akazienstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland","30, Akazienstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland"
