web_id,strasse,strasse_original,plz,ort,erstbeobachtung,beschreibung,besonderes
385,,,12159,,unbekannt,,
504,,,12157,Berlin,unbekannt,,
644,,,10827,Berlin,unbekannt,,
742,,,12167,Berlin,unbekannt,,
1034,,,14197,Berlin,unbekannt,,
1101,,,12169,,unbekannt,,
1168,,,10825,Berlin,unbekannt,,
1218,,,12157,,unbekannt,,
1227,,,12167,Berlin,unbekannt,,
1501,,,12163,,unbekannt,,
1670,,,10781,,unbekannt,,
1674,,,12207,,unbekannt,,
1784,,,14197,,unbekannt,,
2261,,,14195,Berlin,unbekannt,,
2311,,,10245,,unbekannt,,
2354,,,14197,,unbekannt,,
2355,,,14197,,unbekannt,,
2356,,,14197,,unbekannt,,
2402,,,14197,,unbekannt,,
