web_id,strasse,plz,ort,strasse_original,osm_longitude,osm_latitude,osm_location,google_longitude,google_latitude
2304,"Wattstr. 69-70, Edison-Grundschule",12459,Berlin,,,,,,
2311,,10245,,,,,,,
2320,Walter-Linse-Str. 6-7C,12203,Berlin,,,,,,
2324,Von-Laue-Str. 11,14195,Berlin,,,,,,
2342,Südwestkorso 22,14197,Berlin,,,,,,
2354,,14197,,,,,,,
2355,,14197,,,,,,,
2356,,14197,,,,,,,
2369,Hohenzollerndamm 7,10717,Berlin,,,,,,
2402,,14197,,,,,,,
2440,Klingsorstr. 113b,12203,Berlin,,,,,,
2441,Chausseestr. 44,14109,Berlin,,,,,,
2466,"Bayreuther Strasse 41, Hotel IBIS",10787,Berlin,,,,,,
2486,Große Hamburger Str. 10,10115,Berlin,,,,,,
2491,Bogenstr. 25,12207,Berlin,,,,,,
2492,Morgensternstr. 13,12207,Berlin,,,,,,
2514,Elsenstr. 106-107,12435,Berlin,,,,,,
2540,Stuttgarter Platz 4,10627,Berlin,,,,,,
