web_id,gb__id,gb__web_id,gb__bezirk,gb__plz,gb__ort,gb__strasse,gb__anhang,gb__erstbeobachtung,gb__beschreibung,gb__besonderes,gb__checksum,gb__update_date,gb__new,gb__mauersegler,gb__kontrolle,gb__sperling,gb__ersatz,gb__schwalbe,gb__wichtig,gb__star,gb__sanierung,gb__fledermaus,gb__verloren,gb__andere,gb__noSpecies,gb__is_test,osm__id,osm__web_id,osm__longitude,osm__latitude,osm__location,osm__complete_response,google__id,google__web_id,google__longitude,google__latitude,google__location,google__complete_response
385,2535,385,,12159,,,,unbekannt,,,e8262b87e682404751a0290c3596c2ec48aa1aaf91d3b0dd6a2a09fb,2026-01-24 18:03:46,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2097,385,13.2986598,52.4574173,"none, Arnimallee, Dahlem, Steglitz-Zehlendorf, Berlin, 14195, Deutschland","none, Arnimallee, Dahlem, Steglitz-Zehlendorf, Berlin, 14195, Deutschland",2097,385,13.3352069,52.4736908,"12159 Berlin, Germany","[{'access_points': [], 'address_components': [{'long_name': '12159', 'short_name': '12159', 'types': ['postal_code']}, {'long_name': 'Tempelhof-Schöneberg', 'short_name': 'Tempelhof-Schöneberg', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}], 'formatted_address': '12159 Berlin, Germany', 'geometry': {'bounds': {'northeast': {'lat': 52.4780199, 'lng': 13.345981}, 'southwest': {'lat': 52.4675989, 'lng': 13.3285579}}, 'location': {'lat': 52.4736908, 'lng': 13.3352069}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 52.4780199, 'lng': 13.345981}, 'southwest': {'lat': 52.4675989, 'lng': 13.3285579}}}, 'partial_match': True, 'place_id': 'ChIJx9u6cHBQqEcRwN49lUkgIRw', 'types': ['postal_code']}]"
504,2536,504,Steglitz,12157,Berlin,,,unbekannt,,,5049a9a2dd6a5d88f2edb97719d76f03c259d090ccada80e9185018b,2026-01-24 18:04:13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4408,504,13.3496076,52.448618,"none, Liebenowzeile, Südende, Steglitz, Steglitz-Zehlendorf, Berlin, 12169, Deutschland","none, Liebenowzeile, Südende, Steglitz, Steglitz-Zehlendorf, Berlin, 12169, Deutschland",4408,504,13.4100818,52.5316019,"c/o Meinblau Pfefferberg Haus 5, Christinenstraße 18-19, 10119 Berlin, Germany","[{'address_components': [{'long_name': '18-19', 'short_name': '18-19', 'types': ['street_number']}, {'long_name': 'Christinenstraße', 'short_name': 'Christinenstraße', 'types': ['route']}, {'long_name': 'Bezirk Pankow', 'short_name': 'Bezirk Pankow', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '10119', 'short_name': '10119', 'types': ['postal_code']}], 'formatted_address': 'c/o Meinblau Pfefferberg Haus 5, Christinenstraße 18-19, 10119 Berlin, Germany', 'geometry': {'location': {'lat': 52.5316019, 'lng': 13.4100818}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.53295088029149, 'lng': 13.4114307802915}, 'southwest': {'lat': 52.5302529197085, 'lng': 13.4087328197085}}}, 'place_id': 'ChIJtV989OtRqEcRAlCwbRCcrXE', 'plus_code': {'compound_code': 'GCJ6+J2 Berlin, Germany', 'global_code': '9F4MGCJ6+J2'}, 'types': ['art_gallery', 'establishment', 'point_of_interest']}]"
644,2537,644,Schöneberg,10827,Berlin,,,unbekannt,,,94561181da7485f69c30ba0cb8905db009a683607a0599db35ef4cca,2026-01-24 18:04:44,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5265,644,13.3677171,52.5076514,"none, Sigismundstraße, Tiergarten, Mitte, Berlin, 10785, Deutschland","none, Sigismundstraße, Tiergarten, Mitte, Berlin, 10785, Deutschland",5265,644,13.3542784,52.4830386,"10827 Berlin, Germany","[{'address_components': [{'long_name': '10827', 'short_name': '10827', 'types': ['postal_code']}, {'long_name': 'Tempelhof-Schöneberg', 'short_name': 'Tempelhof-Schöneberg', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Kreisfreie Stadt Berlin', 'short_name': 'Kreisfreie Stadt Berlin', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Berlin', 'short_name': 'BE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}], 'formatted_address': '10827 Berlin, Germany', 'geometry': {'bounds': {'northeast': {'lat': 52.491679, 'lng': 13.3670094}, 'southwest': {'lat': 52.4744207, 'lng': 13.3428525}}, 'location': {'lat': 52.4830386, 'lng': 13.3542784}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 52.491679, 'lng': 13.3670094}, 'southwest': {'lat': 52.4744207, 'lng': 13.3428525}}}, 'partial_match': True, 'place_id': 'ChIJuc8RmmpQqEcR4N89lUkgIRw', 'types': ['postal_code']}]"
742,2538,742,Steglitz,12167,Berlin,,,unbekannt,,,aa1a722b5b3d02aec0459826c3c42545a0e424951027ba5477a29f86,2026-01-24 18:05:07,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5384,742,13.3496076,52.448618,"none, Liebenowzeile, Südende, Steglitz, Steglitz-Zehlendorf, Berlin, Deutschland","none, Liebenowzeile, Südende, Steglitz, Steglitz-Zehlendorf, Berlin, Deutschland",5384,742,13.3285127,52.4499548,"12167 Berlin, Germany","[{'address_components': [{'long_name': '12167', 'short_name': '12167', 'types': ['postal_code']}, {'long_name': 'Steglitz-Zehlendorf', 'short_name': 'Steglitz-Zehlendorf', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Kreisfreie Stadt Berlin', 'short_name': 'Kreisfreie Stadt Berlin', 'types': ['administrative_area_level_3', 'political']}, {'long_name': 'Berlin', 'short_name': 'BE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}], 'formatted_address': '12167 Berlin, Germany', 'geometry': {'bounds': {'northeast': {'lat': 52.4554671, 'lng': 13.3542588}, 'southwest': {'lat': 52.4423579, 'lng': 13.3186023}}, 'location': {'lat': 52.4499548, 'lng': 13.3285127}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 52.4554671, 'lng': 13.3542588}, 'southwest': {'lat': 52.4423579, 'lng': 13.3186023}}}, 'partial_match': True, 'place_id': 'ChIJP0BdipZaqEcRUOA9lUkgIRw', 'types': ['postal_code']}]"
955,2539,955,Steglitz,12203,Berlin,Gardeschützenweg 103,,2003-01-01 00:00:00,"2012: Kontrolle der Altdaten Mauersegler, Neubau: Sanierung?, keine Jalousien vorhanden
2004: Altbau, ca. 4 Brutplätze in den Jalousiekästen der 2-3 OG",Mauersegler weg,46b1d1a1be5361b5c521608ee7eb7e069ac6e4b6366f45a9c70fb2f8,2026-01-24 18:05:53,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4289,955,13.30235645,52.4446595,"103, Gardeschützenweg, Lichterfelde, Steglitz-Zehlendorf, Berlin, 12203, Deutschland","103, Gardeschützenweg, Lichterfelde, Steglitz-Zehlendorf, Berlin, 12203, Deutschland",4289,955,13.3023085,52.4446464,"Gardeschützenweg 103, 12203 Berlin, Germany","[{'address_components': [{'long_name': '103', 'short_name': '103', 'types': ['street_number']}, {'long_name': 'Gardeschützenweg', 'short_name': 'Gardeschützenweg', 'types': ['route']}, {'long_name': 'Bezirk Steglitz-Zehlendorf', 'short_name': 'Bezirk Steglitz-Zehlendorf', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '12203', 'short_name': '12203', 'types': ['postal_code']}], 'formatted_address': 'Gardeschützenweg 103, 12203 Berlin, Germany', 'geometry': {'location': {'lat': 52.4446464, 'lng': 13.3023085}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.4459953802915, 'lng': 13.3036574802915}, 'southwest': {'lat': 52.4432974197085, 'lng': 13.3009595197085}}}, 'place_id': 'ChIJVc2URl5aqEcRwbJJjZwm7Cg', 'plus_code': {'compound_code': 'C8V2+VW Berlin, Germany', 'global_code': '9F4MC8V2+VW'}, 'types': ['street_address']}]"
956,2540,956,Steglitz,12203,Berlin,Gardeschützenweg 106,,1997-01-01 00:00:00,"2012: Altbau, keine Mauersegler zu sehen, Nachkontrolle
Altdaten Mauersegler 2001: Vorderhaus, Regenrinne mittlerer Balkon",,3e501283310525a13c7e13b5e28db70331f14eae5506743cfd51ba73,2026-01-24 18:05:53,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4290,956,13.301797539306214,52.44491755,"106, Gardeschützenweg, Lichterfelde, Steglitz-Zehlendorf, Berlin, 12203, Deutschland","106, Gardeschützenweg, Lichterfelde, Steglitz-Zehlendorf, Berlin, 12203, Deutschland",4290,956,13.30178,52.4448975,"Gardeschützenweg 106, 12203 Berlin, Germany","[{'address_components': [{'long_name': '106', 'short_name': '106', 'types': ['street_number']}, {'long_name': 'Gardeschützenweg', 'short_name': 'Gardeschützenweg', 'types': ['route']}, {'long_name': 'Bezirk Steglitz-Zehlendorf', 'short_name': 'Bezirk Steglitz-Zehlendorf', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '12203', 'short_name': '12203', 'types': ['postal_code']}], 'formatted_address': 'Gardeschützenweg 106, 12203 Berlin, Germany', 'geometry': {'bounds': {'northeast': {'lat': 52.44500110000001, 'lng': 13.3019874}, 'southwest': {'lat': 52.44480679999999, 'lng': 13.3016011}}, 'location': {'lat': 52.4448975, 'lng': 13.30178}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.4462529302915, 'lng': 13.3031432302915}, 'southwest': {'lat': 52.4435549697085, 'lng': 13.3004452697085}}}, 'place_id': 'ChIJwbKlal5aqEcRtOZeRJdtV3g', 'types': ['premise']}]"
969,2542,969,Lankwitz,12249,Berlin,Gallwitzallee 74,,1999-01-01 00:00:00,"Kontrolle 2012 Neubau, keine Einflüge - Altdaten: jahrelang Mauersegler, Sanierung 2002.",Mauersegler weg,3457cc98aa17f455019a5e4030598d1fa55f42eac872a33a0336f6af,2026-01-24 18:05:56,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4569,969,13.3459341,52.4291483,"74, Gallwitzallee, Lankwitz, Steglitz-Zehlendorf, Berlin, 12249, Deutschland","74, Gallwitzallee, Lankwitz, Steglitz-Zehlendorf, Berlin, 12249, Deutschland",4569,969,13.3460021,52.42917749999999,"Gallwitzallee 74, 12249 Berlin, Germany","[{'address_components': [{'long_name': '74', 'short_name': '74', 'types': ['street_number']}, {'long_name': 'Gallwitzallee', 'short_name': 'Gallwitzallee', 'types': ['route']}, {'long_name': 'Bezirk Steglitz-Zehlendorf', 'short_name': 'Bezirk Steglitz-Zehlendorf', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '12249', 'short_name': '12249', 'types': ['postal_code']}], 'formatted_address': 'Gallwitzallee 74, 12249 Berlin, Germany', 'geometry': {'location': {'lat': 52.42917749999999, 'lng': 13.3460021}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.43052648029149, 'lng': 13.3473510802915}, 'southwest': {'lat': 52.4278285197085, 'lng': 13.3446531197085}}}, 'place_id': 'ChIJ5bFcoNpaqEcRf5xQMEduDqU', 'plus_code': {'compound_code': 'C8HW+MC Berlin, Germany', 'global_code': '9F4MC8HW+MC'}, 'types': ['street_address']}]"
1034,1800,1034,Wilmersdorf,14197,Berlin,,,unbekannt,,,7f3076879a8f22bc23bc534eaa65ad0fa03bd2b41090dcfb5e88f27f,2026-01-24 18:06:09,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1798,1034,13.3192244,52.4718024,"16, Wiesbadener Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland","16, Wiesbadener Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland",1798,1034,13.3192124,52.4717918,"Wiesbadener Str. 16, 14197 Berlin, Germany","[{'access_points': [], 'address_components': [{'long_name': '16', 'short_name': '16', 'types': ['street_number']}, {'long_name': 'Wiesbadener Straße', 'short_name': 'Wiesbadener Str.', 'types': ['route']}, {'long_name': 'Bezirk Charlottenburg-Wilmersdorf', 'short_name': 'Bezirk Charlottenburg-Wilmersdorf', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '14197', 'short_name': '14197', 'types': ['postal_code']}], 'formatted_address': 'Wiesbadener Str. 16, 14197 Berlin, Germany', 'geometry': {'location': {'lat': 52.4717918, 'lng': 13.3192124}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.47314078029149, 'lng': 13.3205613802915}, 'southwest': {'lat': 52.4704428197085, 'lng': 13.3178634197085}}}, 'place_id': 'ChIJsd-fSYdQqEcRoBO_fgUYMY8', 'plus_code': {'compound_code': 'F8C9+PM Berlin, Germany', 'global_code': '9F4MF8C9+PM'}, 'types': ['street_address']}]"
1101,885,1101,,12169,,,,unbekannt,,,2acb905ac969cd85e01e4d2a2ef7a05c5f892c74d605c27661acb71a,2026-01-24 18:06:23,1,0,0,0,0,0,0,0,0,0,0,0,1,0,884,1101,13.3427933,52.4516073,"26, Immenweg, Steglitz, Berlin, 12169, Deutschland","26, Immenweg, Steglitz, Berlin, 12169, Deutschland",884,1101,13.34272,52.45162999999999,"Immenweg 26, 12169 Berlin, Germany","[{'access_points': [], 'address_components': [{'long_name': '26', 'short_name': '26', 'types': ['street_number']}, {'long_name': 'Immenweg', 'short_name': 'Immenweg', 'types': ['route']}, {'long_name': 'Bezirk Steglitz-Zehlendorf', 'short_name': 'Bezirk Steglitz-Zehlendorf', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '12169', 'short_name': '12169', 'types': ['postal_code']}], 'formatted_address': 'Immenweg 26, 12169 Berlin, Germany', 'geometry': {'location': {'lat': 52.45162999999999, 'lng': 13.34272}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.4529789802915, 'lng': 13.3440689802915}, 'southwest': {'lat': 52.4502810197085, 'lng': 13.3413710197085}}}, 'place_id': 'ChIJf2rVRL1aqEcRBCOGrNu49XY', 'plus_code': {'compound_code': 'F82V+M3 Berlin, Germany', 'global_code': '9F4MF82V+M3'}, 'types': ['street_address']}]"
1214,2543,1214,Neukölln,12347,Berlin,Tempelhofer Weg 64,,2020-07-07 00:00:00,"2020-07: Jalousienkästen und Fugen zw. Fenstern im Innenhof, mindestens im 1. + 3. OG: diverse Haussperlinge nisten in den Jalousien (Richtung Süd-Westen und Süd-Osten), aber auch in Fugen zw. den Fenstern. Mieter haben außerdem Mauersegler dort gesehen. ",,07c34421c78aedf897c282510ba848ce9780593a1940568c4e84cba4,2026-01-24 18:06:49,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3150,1214,13.4314419,52.4533377,"64, Tempelhofer Weg, Britz, Neukölln, 12347, Deutschland","64, Tempelhofer Weg, Britz, Neukölln, 12347, Deutschland",3150,1214,13.4313159,52.453276,"Tempelhofer Weg 64, 12347 Berlin, Germany","[{'address_components': [{'long_name': '64', 'short_name': '64', 'types': ['street_number']}, {'long_name': 'Tempelhofer Weg', 'short_name': 'Tempelhofer Weg', 'types': ['route']}, {'long_name': 'Bezirk Neukölln', 'short_name': 'Bezirk Neukölln', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['locality', 'political']}, {'long_name': 'Berlin', 'short_name': 'Berlin', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '12347', 'short_name': '12347', 'types': ['postal_code']}], 'formatted_address': 'Tempelhofer Weg 64, 12347 Berlin, Germany', 'geometry': {'bounds': {'northeast': {'lat': 52.4535411, 'lng': 13.431736}, 'southwest': {'lat': 52.45309169999999, 'lng': 13.4309513}}, 'location': {'lat': 52.453276, 'lng': 13.4313159}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 52.4546653802915, 'lng': 13.4326926302915}, 'southwest': {'lat': 52.4519674197085, 'lng': 13.4299946697085}}}, 'place_id': 'ChIJRYuHgIBPqEcRYvQE-Yqbc5g', 'types': ['premise']}]"
