group,key,metric,count
species,mauersegler,total,952
species,mauersegler,geolocated,952
species,mauersegler,missing,0
species,mauersegler,bad_coords,5
species,sperling,total,1790
species,sperling,geolocated,1790
species,sperling,missing,0
species,sperling,bad_coords,11
species,schwalbe,total,222
species,schwalbe,geolocated,222
species,schwalbe,missing,0
species,schwalbe,bad_coords,2
species,star,total,64
species,star,geolocated,64
species,star,missing,0
species,star,bad_coords,0
species,fledermaus,total,64
species,fledermaus,geolocated,64
species,fledermaus,missing,0
species,fledermaus,bad_coords,1
species,andere,total,131
species,andere,geolocated,131
species,andere,missing,0
species,andere,bad_coords,3
meta,overall,geolocated,2440
meta,overall,missing,0
meta,overall,bad_coords,15
